ID,Hero Name,Pick Rate (%),Win Rate (%),Role,Position,Extended Role
121,Marci,24.43,52.61,Core,Mid Lane,Mid Lane Initiator
18,Tiny,20.24,52.45,Core,Off Lane,Off Lane Durable
117,Void Spirit,19.89,49.4,Core,Mid Lane,Mid Lane Disabler
112,Monkey King,19.86,49.18,Core,Safe Lane,Safe Lane Escape
95,Magnus,19.24,48.59,Core,Off Lane,Off Lane Initiator
13,Pudge,18.81,47.07,Support,Soft Support,Soft Support Initiator
24,Lion,18.75,47.31,Support,Hard Support,Hard Support Initiator
119,Mars,17.89,46.72,Core,Off Lane,Off Lane Initiator
84,Rubick,17.58,47.56,Support,Hard Support,Hard Support Nuker
2,Bane,16.98,54.68,Support,Soft Support,Soft Support Nuker
23,Lina,16.55,49.18,Core,Mid Lane,Mid Lane Disabler
6,Earthshaker,16.43,50.19,Support,Soft Support,Soft Support Initiator
72,Invoker,16.35,50.03,Core,Mid Lane,Mid Lane Pusher
102,Legion Commander,15.9,50.68,Core,Off Lane,Off Lane Durable
20,Windranger,15.33,49.63,Core,Mid Lane,Mid Lane Disabler
82,Ogre Magi,15.09,53.1,Support,Hard Support,Hard Support Initiator
61,Weaver,14.92,51.97,Core,Safe Lane,Safe Lane Escape
104,Ember Spirit,14.6,47.78,Core,Mid Lane,Mid Lane Initiator
9,Morphling,14.42,46.85,Core,Safe Lane,Safe Lane Durable
46,Luna,13.81,49.28,Core,Safe Lane,Safe Lane Pusher
16,Storm Spirit,13.46,48.75,Core,Mid Lane,Mid Lane Initiator
118,Snapfire,13.36,47.22,Support,Soft Support,Soft Support Nuker
32,Tinker,13.11,55.33,Core,Mid Lane,Mid Lane Pusher
85,Disruptor,12.85,49.62,Support,Hard Support,Hard Support Initiator
68,Ursa,12.78,52.89,Core,Safe Lane,Safe Lane Durable
15,Sand King,9.24,50.32,Core,Off Lane,Off Lane Initiator
27,Tidehunter,12.23,47.98,Core,Off Lane,Off Lane Disabler
120,Dawnbreaker,12.05,48.24,Core,Off Lane,Off Lane Durable
99,Skywrath Mage,11.08,51.43,Support,Soft Support,Soft Support Nuker
91,Slark,11.05,50.62,Core,Safe Lane,Safe Lane Escape
113,Dark Willow,10.97,50.48,Support,Hard Support,Hard Support Disabler
62,Jakiro,10.65,52.45,Support,Hard Support,Hard Support Disabler
69,Spirit Breaker,9.56,51.07,Support,Soft Support,Soft Support Initiator
110,Winter Wyvern,10.38,50.71,Support,Hard Support,Hard Support Nuker
40,Wraith King,9.57,53.32,Core,Safe Lane,Safe Lane Pusher
89,Io,10.19,53.95,Support,Hard Support,Hard Support Nuker
8,Mirana,10.02,51.39,Support,Soft Support,Soft Support Escape
92,Medusa,9.96,52.45,Core,Safe Lane,Safe Lane Durable
58,Night Stalker,9.86,52.59,Core,Off Lane,Off Lane Disabler
116,Hoodwink,8.32,48.91,Support,Soft Support,Soft Support Escape
